entry_time,exit_time,spread_side,long_symbol,short_symbol,entry_z,exit_z,pnl,holding_bars,holding_hours,exit_reason
2026-02-04 00:05:00+00:00,2026-02-04 00:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,3.5997,-0.182,38.1143,2,0.17,signal
2026-02-04 00:40:00+00:00,2026-02-04 04:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,3.6657,3.06,-16.1818,43,3.58,signal
2026-02-04 08:45:00+00:00,2026-02-04 10:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.5413,1.3925,3.338,18,1.5,signal
2026-02-05 11:25:00+00:00,2026-02-05 14:00:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-4.6932,-0.4592,28.6981,31,2.58,signal
2026-02-05 16:00:00+00:00,2026-02-05 17:20:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.9727,-6.7436,-47.1612,16,1.33,stop
2026-02-05 19:45:00+00:00,2026-02-05 20:35:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.2176,-6.6333,-57.3293,10,0.83,stop
2026-02-06 01:05:00+00:00,2026-02-06 01:50:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.0034,0.2562,15.5479,9,0.75,signal
2026-02-06 06:05:00+00:00,2026-02-06 07:05:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.1702,0.5845,15.4169,12,1.0,signal
2026-02-06 09:45:00+00:00,2026-02-06 14:05:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.7114,-0.379,20.9169,52,4.33,signal
2026-02-06 14:50:00+00:00,2026-02-06 16:05:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.777,-0.5773,32.3357,15,1.25,signal
2026-02-06 16:20:00+00:00,2026-02-06 16:25:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.5383,6.1478,-46.1527,1,0.08,stop
2026-02-06 18:25:00+00:00,2026-02-06 19:30:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.0204,0.2131,14.358,13,1.08,signal
2026-02-06 20:35:00+00:00,2026-02-06 20:55:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.5104,-0.0126,24.9949,4,0.33,signal
2026-02-06 21:35:00+00:00,2026-02-07 00:25:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.969,-0.717,30.289,34,2.83,signal
2026-02-07 00:35:00+00:00,2026-02-07 01:55:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.3808,-0.6237,28.1113,16,1.33,signal
